County,Overdoses,Population
Bronx,1184,1468262
Kings,1059,2712360
NewYork,943,1669127
Queens,703,2393104
Richmond,311,493194
Albany,82,314679
Allegany,5,46654
Broome,75,198591
Cattaraugus,12,77211
Cayuga,18,76644
Chautauqua,47,128042
Chemung,28,84456
Chenango,12,47407
Clinton,13,80095
Columbia,15,61587
Cortland,16,46984
Delaware,8,44644
Dutchess,86,296012
Erie,272,949715
Essex,10,37501
Franklin,7,47996
Fulton,12,53588
Genesee,4,58387
Greene,22,48026
Hamilton,0,5068
Herkimer,6,60796
Jefferson,26,117634
Lewis,2,26681
Livingston,5,62253
Madison,14,68466
Monroe,155,757332
Montgomery,11,49539
Nassau,232,1391678
Niagara,70,212808
Oneida,71,232034
Onondaga,160,474621
Ontario,15,112060
Orange,135,398277
Orleans,5,40588
Oswego,35,118019
Otsego,12,58952
Putnam,17,97960
Rensselaer,35,161125
Rockland,62,336485
St. Lawrence,17,108836
Saratoga,32,235010
Schenectady,44,157515
Schoharie,9,29936
Schuyler,3,17920
Seneca,3,33900
Steuben,16,94153
Suffolk,442,1522998
Sullivan,37,78230
Tioga,7,48567
Tompkins,16,105638
Ulster,48,181862
Warren,9,65692
Washington,10,61504
Wayne,17,91332
Westchester,144,999723
Wyoming,2,40679
Yates,3,24808
